fips,Week_end,PRCP_mean,SNOW_mean,TMAXDELTA,TMINDELTA,COVID19-related_value,COVID19_value,influenza_value,s01_value,s02_value,s03_value,s04_value,s05_value,s06_value,scontrol_value,total_admissions
5,2022-06-25,7.7142857142857135,0.0,56.11111111111112,71.88888888888887,1.0977605714285714,0.9243101904761902,0.0167558047619047,1.4010884428571426,1.9436394571428568,1.0230884428571427,0.601913257142857,0.0534693809523809,0.7583673428571428,3.9406802666666674,16.0
5,2022-07-02,6.571428571428571,0.0,46.88888888888889,79.99999999999999,1.2368772761904765,1.055289852380952,0.0167916095238094,1.3689625809523809,1.951609985714286,1.0485714285714287,0.5852891047619048,0.0557142809523809,0.7567800428571428,3.89877550952381,12.0
5,2022-07-09,0.0,0.0,52.55555555555557,77.2222222222222,1.3432808809523806,1.1406107476190472,0.0162996095238094,1.3624999952380952,1.962879823809524,1.0600272142857143,0.5799999952380952,0.0612244809523809,0.7619501095238096,3.934095242857143,5.0
5,2022-07-16,1.8571428571428568,0.0,56.888888888888886,62.99999999999998,1.3634750476190474,1.1466681428571426,0.0169419523809523,1.341547614285714,1.9537641761904765,1.095292519047619,0.5714285666666666,0.067551019047619,0.7465986428571428,3.967319733333333,20.0
5,2022-07-23,18.857142857142858,0.0,50.66666666666666,50.555555555555536,1.328629276190476,1.1114561095238091,0.0152371333333333,1.317891157142857,1.9283446666666664,1.084394561904762,0.5724149619047618,0.0697052142857142,0.731700680952381,4.022680271428572,14.0
5,2022-07-30,8.714285714285715,0.0,74.66666666666667,52.99999999999998,1.307865319047619,1.0726370476190474,0.0173320666666666,1.2657142904761904,1.8671428571428568,1.0464761904761903,0.5626360523809524,0.0697278904761904,0.6926984142857142,4.00874829047619,7.0
5,2022-08-06,181.0,0.0,107.44444444444444,69.1111111111111,1.2121152523809524,0.9770848952380948,0.0173572095238094,1.2210034047619047,1.8071655333333327,0.983414961904762,0.5551870761904762,0.0685260761904761,0.6696371857142859,3.989972785714286,6.0
5,2022-08-13,40.0,0.0,138.77777777777774,91.44444444444444,1.1282150523809522,0.9132669380952376,0.0169445523809523,1.1915646285714283,1.7611451285714284,0.912816319047619,0.5558418333333334,0.0678458047619047,0.6465532904761905,3.933129242857143,9.0
5,2022-08-20,34.714285714285715,0.0,170.2222222222222,111.2222222222222,1.0340154238095238,0.8573714190476188,0.0151733619047618,1.202585038095238,1.779455785714286,0.8726530571428571,0.5647023761904761,0.0694557904761904,0.6623129238095238,3.842802719047619,3.0
5,2022-08-27,270.2857142857143,0.0,167.7777777777778,107.4444444444444,1.0934911904761904,0.872494614285714,0.0171271761904761,1.2826020476190474,1.9129818666666665,0.8798095285714286,0.587304419047619,0.0717006809523809,0.7225623571428571,3.742122447619048,4.0
5,2022-09-03,57.285714285714285,0.0,170.44444444444446,99.4444444444444,1.1351614047619047,0.885851795238095,0.0240806238095237,1.404081638095238,2.1006349285714285,0.9015510238095238,0.6120068095238095,0.0738775619047618,0.8090702904761905,3.660258504761905,7.0
5,2022-09-10,89.0,0.0,140.88888888888889,94.33333333333331,1.060639495238095,0.7987711238095235,0.0239680285714285,1.5179081714285712,2.2382766523809523,0.912938780952381,0.6501615761904762,0.0752267666666666,0.8635374095238095,3.616258504761904,6.0
5,2022-09-17,20.714285714285715,0.0,140.1111111111111,99.33333333333331,0.8818985666666666,0.6770051095238091,0.0216632333333333,1.5737074904761903,2.2694898047619048,0.8859319666666666,0.6747023904761905,0.0765929821428571,0.858163261904762,3.614911561904762,5.0
5,2022-09-24,0.0,0.0,154.88888888888889,107.2222222222222,0.6942386857142857,0.5051931952380949,0.0239253857142856,1.5847279,2.252403633333333,0.8588299333333334,0.6895238142857143,0.085436525,0.836235819047619,3.623687076190476,7.0
5,2022-10-01,0.4285714285714285,0.0,156.66666666666666,97.33333333333331,0.5781424190476189,0.4188631619047616,0.0581405428571428,1.6022108952380951,2.2694898,0.8370612238095237,0.6961054428571428,0.0814682583333333,0.8341950095238095,3.629795923809524,10.0
5,2022-10-08,0.0,0.0,155.55555555555557,83.77777777777776,0.5064148285714285,0.362317371428571,0.1133387904761904,1.6532483095238095,2.3285714333333334,0.8425170142857143,0.7093622428571429,0.0766326523809523,0.8586621285714285,3.624367352380952,22.0
5,2022-10-15,0.0,0.0,145.55555555555554,95.0,0.4837238952380951,0.3662030619047616,0.1632166238095237,1.7404591952380952,2.4314739285714286,0.8744489809523809,0.7270748238095238,0.0641383047619047,0.8908616857142858,3.629414971428572,37.0
5,2022-10-22,101.85714285714286,0.0,163.66666666666666,134.44444444444443,0.5173826333333332,0.3940249142857139,0.2397448571428571,1.891955785714286,2.604625847619048,0.9485714285714284,0.7491326428571429,0.0643083809523809,0.936507938095238,3.6810612190476175,47.0
5,2022-10-29,0.7142857142857143,0.0,153.66666666666666,154.2222222222222,0.5227673619047618,0.4082755857142854,0.3238911285714285,2.058248304761905,2.8031746,1.0381360476190478,0.7705357095238096,0.071473919047619,0.9823356,3.6995238,77.0
5,2022-11-05,258.57142857142856,0.0,135.88888888888889,123.33333333333331,0.5131860761904761,0.3964555619047615,0.4214868571428571,2.2427551,3.024852604761905,1.1421088428571429,0.7935119095238096,0.1526077095238095,1.0392970428571429,3.7146666619047615,134.0
5,2022-11-12,122.0,0.0,143.7777777777778,135.55555555555554,0.5017037476190476,0.3890005142857139,0.5036504476190476,2.406428571428572,3.255793652380952,1.2111292476190476,0.8111224571428571,0.2038548809523809,1.0923355904761909,3.6796462619047614,203.0
5,2022-11-19,48.0,2.2857142857142856,127.77777777777776,116.88888888888889,0.5684893809523809,0.4643932380952377,0.7121605714285716,2.736581628571429,3.748151923809525,1.340285714285714,0.8551785714285715,0.2288208761904761,1.1987301523809524,3.683823128571429,214.0
5,2022-11-26,42.57142857142857,12.0,119.55555555555554,148.66666666666666,0.6742448047619046,0.5736168619047616,0.8738325761904763,3.010544219047619,4.105657595238096,1.4097142809523808,0.9024829857142858,0.1670748523809523,1.275487533333333,3.6865034000000008,407.0
5,2022-12-03,287.8571428571429,0.0,92.44444444444446,105.55555555555554,0.7293015476190475,0.6372360619047616,0.8121090761904761,3.0542176857142853,4.140351476190476,1.4234421714285712,0.9099744857142856,0.131587319047619,1.2943310714285712,3.702408161904762,466.0
5,2022-12-10,11.428571428571429,0.0,107.33333333333331,108.2222222222222,0.7452637047619047,0.646989495238095,0.5687169333333333,2.813707480952381,3.774421771428573,1.3213741476190477,0.8736054380952382,0.1119954761904761,1.2382766523809523,3.666353747619047,346.0
